,Seat Type,Seat Comfort,Cabin Staff Service,Food & Beverages,Inflight Entertainment,Ground Service,Value For Money,Wifi & Connectivity,Recommended
2290,Economy Class,3,3,2,3,2,1,1,0
2291,Business Class,1,2,1,1,3,1,1,0
2292,Premium Economy,3,3,3,2,3,3,2,1
2293,Economy Class,4,4,4,3,4,4,1,1
2294,Business Class,3,4,3,3,3,3,1,1
2295,Economy Class,3,4,3,3,1,1,1,0
2296,Business Class,4,4,3,2,3,4,1,1
2297,Business Class,3,2,4,3,2,4,1,1
2298,Premium Economy,4,3,3,2,3,3,1,1
2299,Business Class,2,4,1,3,1,1,1,0
2300,Economy Class,3,4,3,3,1,1,1,0
2301,Business Class,2,4,1,3,3,2,1,0
2302,Business Class,2,4,3,3,4,4,1,1
2303,First Class,5,5,3,4,5,4,1,1
2304,Economy Class,2,2,1,3,2,1,1,0
2305,Premium Economy,4,5,4,4,4,4,1,1
2306,Economy Class,4,5,4,3,3,4,1,1
2307,Economy Class,2,2,2,1,1,1,1,0
2308,Economy Class,5,5,4,3,5,5,1,1
2309,First Class,5,2,2,1,4,3,1,0
2310,Business Class,3,3,2,4,5,3,1,0
2311,Business Class,1,1,3,1,3,3,1,0
2312,Economy Class,2,2,3,3,3,3,2,1
2313,Economy Class,3,5,2,3,1,3,1,0
2314,Economy Class,2,1,1,4,3,1,1,0
2315,Economy Class,5,4,2,3,5,2,1,0
2316,Economy Class,4,5,4,3,5,5,1,1
2317,Business Class,1,4,3,3,4,3,1,0
2318,Economy Class,4,2,1,1,2,2,1,0
2319,Business Class,1,2,2,1,4,3,1,0
2320,Business Class,3,4,3,3,1,1,1,0
2321,First Class,4,5,4,4,5,5,1,1
2322,First Class,5,5,4,4,4,4,1,1
2323,Economy Class,3,1,1,1,4,1,1,0
2324,Business Class,4,4,2,3,5,3,1,0
2325,Premium Economy,4,3,2,2,4,4,1,1
2326,Economy Class,3,4,3,3,1,1,1,0
2327,First Class,4,5,4,4,4,5,1,1
2328,Economy Class,2,1,1,1,1,1,1,0
2329,Economy Class,1,1,3,3,1,1,1,0
2330,Economy Class,4,5,3,4,4,5,1,1
2331,Economy Class,3,1,1,3,2,2,2,0
2332,Economy Class,3,4,3,3,1,1,1,0
2333,Business Class,1,3,1,1,1,1,1,0
2334,Economy Class,4,5,5,5,2,5,1,1
2335,Business Class,5,5,4,4,5,5,1,1
2336,First Class,3,2,3,2,3,3,1,0
2337,Premium Economy,1,3,4,3,2,2,1,0
2338,Economy Class,3,4,3,3,1,4,1,1
2339,Economy Class,3,5,4,3,4,3,1,1
2340,Economy Class,4,5,5,3,4,5,1,1
2341,Business Class,3,1,1,3,4,2,1,0
2342,Economy Class,4,5,4,3,5,5,1,1
2343,Business Class,3,1,1,3,1,3,1,0
2344,Business Class,4,5,3,4,2,3,1,0
2345,Economy Class,3,3,3,2,5,5,1,1
2346,Economy Class,4,3,1,3,4,3,1,1
2347,Premium Economy,2,2,3,1,2,1,2,0
2348,Premium Economy,4,4,4,4,4,4,1,1
2349,Economy Class,4,5,5,3,4,3,1,1
2350,Business Class,4,1,2,4,2,3,1,1
2351,Business Class,4,3,2,3,4,4,1,1
2352,First Class,5,5,5,5,4,5,1,1
2353,Economy Class,1,4,3,2,1,2,1,0
2354,Premium Economy,4,3,4,3,3,4,1,1
2355,Economy Class,5,4,4,4,5,4,1,1
2356,Economy Class,5,5,5,5,4,5,5,1
2357,Business Class,4,4,5,3,4,4,1,1
2358,Economy Class,2,3,3,4,1,2,1,0
2359,Premium Economy,4,5,4,3,3,4,1,1
2360,Economy Class,1,1,3,3,1,1,1,0
2361,Premium Economy,2,4,2,2,2,1,1,0
2362,Economy Class,3,4,3,3,1,2,1,0
2363,Economy Class,2,1,2,2,4,3,1,0
2364,Economy Class,1,2,3,2,4,1,1,0
2365,Business Class,2,5,4,2,2,3,1,0
2366,Economy Class,4,4,2,3,1,4,1,1
2367,Business Class,3,4,2,2,4,2,1,0
2368,Economy Class,1,2,1,1,1,1,1,0
2369,Premium Economy,4,4,4,4,3,4,1,1
2370,Premium Economy,2,4,2,2,2,1,2,0
2371,Business Class,1,4,3,4,4,2,1,0
2372,Premium Economy,5,5,4,5,4,3,1,1
2373,Business Class,2,4,2,3,2,2,1,0
2374,Business Class,4,2,2,2,1,1,1,0
2375,Economy Class,1,2,1,2,4,2,1,0
2376,Business Class,4,5,5,4,4,4,1,1
2377,Business Class,3,2,2,1,1,1,1,0
2378,Business Class,1,2,2,3,1,1,1,0
2379,Business Class,4,5,3,4,4,4,1,1
2380,Premium Economy,4,3,3,4,3,3,1,1
2381,Premium Economy,3,1,2,1,4,2,1,0
2382,Economy Class,4,3,3,3,5,5,1,1
2383,Economy Class,2,3,2,3,3,4,1,0
2384,Economy Class,3,3,2,3,3,3,1,0
2385,Business Class,2,2,3,3,4,3,1,0
2386,Economy Class,1,1,3,3,1,1,1,0
2387,Business Class,4,5,4,3,5,5,1,1
2388,Business Class,1,1,1,3,1,2,1,0
2389,Business Class,1,2,1,1,1,1,1,0
2390,Business Class,4,2,1,2,2,1,1,0
2391,Economy Class,3,4,3,3,3,3,1,1
2392,First Class,4,4,3,3,3,3,1,1
2393,Economy Class,5,5,5,5,4,5,1,1
2394,Economy Class,3,3,4,2,1,1,1,0
2395,Economy Class,4,5,2,3,4,4,1,1
2396,Economy Class,2,3,1,2,3,3,2,0
2397,Business Class,4,4,4,4,4,5,1,1
2398,Economy Class,2,4,3,3,5,4,1,1
2399,Economy Class,1,4,3,3,1,1,1,0
2400,Economy Class,4,4,3,3,3,3,1,1
2401,Premium Economy,3,4,4,2,4,3,1,1
2402,Business Class,4,5,5,3,4,5,1,1
2403,Economy Class,1,2,2,2,3,3,1,1
2404,Economy Class,1,4,1,1,3,3,1,0
2405,Economy Class,4,4,4,4,1,2,4,0
2406,First Class,5,4,5,5,5,5,1,1
2407,Premium Economy,3,4,4,3,3,2,3,0
2408,Economy Class,1,1,1,1,1,1,1,0
2409,Economy Class,4,4,4,4,5,4,1,1
2410,Business Class,3,3,4,4,4,3,1,1
2411,Premium Economy,5,3,5,5,3,4,1,0
2412,Business Class,3,5,5,2,4,3,1,1
2413,Economy Class,3,1,1,3,3,1,1,0
2414,Economy Class,4,3,2,4,3,2,1,0
2415,Economy Class,1,3,3,1,1,1,1,0
2416,Business Class,4,2,1,1,4,4,2,1
2417,Business Class,3,4,4,3,4,3,1,0
2418,Economy Class,4,5,4,3,3,5,1,1
2419,Economy Class,1,4,1,2,3,2,1,0
2420,Economy Class,4,4,4,3,4,4,1,1
2421,Economy Class,1,3,1,2,1,1,1,0
2422,Economy Class,4,4,4,3,5,4,1,1
2423,Economy Class,1,3,1,1,4,2,2,0
2424,Economy Class,1,2,3,2,3,2,1,0
2425,Business Class,4,1,3,3,4,1,1,0
2426,Economy Class,1,2,1,1,2,1,2,0
2427,Business Class,3,5,4,3,5,3,1,1
2428,Business Class,1,5,4,3,1,3,1,1
2429,Economy Class,4,5,1,3,3,4,1,1
2430,Business Class,4,3,5,3,4,3,1,1
2431,Business Class,2,3,4,3,5,3,1,1
2432,Economy Class,4,3,1,3,4,4,1,0
2433,Business Class,4,4,4,4,4,5,1,1
2434,Business Class,2,2,1,2,3,2,1,0
2435,Business Class,3,4,3,1,4,2,1,0
2436,Economy Class,4,4,3,3,4,5,1,1
2437,Economy Class,1,1,3,3,1,1,1,0
2438,Premium Economy,5,5,5,5,5,5,1,1
2439,Economy Class,3,2,1,3,2,2,2,0
2440,Business Class,1,5,3,3,3,1,1,0
2441,Economy Class,1,4,2,1,1,2,1,0
2442,Economy Class,5,3,3,3,4,5,1,1
2443,Economy Class,3,5,5,4,4,4,1,1
2444,Economy Class,1,2,1,3,4,2,1,0
2445,Business Class,5,5,5,3,5,4,1,1
2446,Economy Class,5,5,3,3,5,5,1,1
2447,Business Class,1,5,2,1,3,1,1,0
2448,Business Class,2,2,2,3,2,2,1,0
2449,First Class,2,5,2,1,2,1,1,0
2450,Economy Class,4,3,4,3,5,4,1,1
2451,Business Class,1,4,1,3,1,1,1,0
2452,Economy Class,3,3,2,3,1,3,1,0
2453,Business Class,5,5,5,5,5,4,1,1
2454,Premium Economy,4,5,3,2,4,5,1,0
2455,Economy Class,1,1,1,1,1,1,1,0
2456,Business Class,1,2,1,1,3,1,1,0
2457,Economy Class,2,2,1,1,3,3,1,0
2458,Economy Class,1,3,2,1,3,3,1,0
2459,Business Class,1,2,1,1,3,2,1,0
2460,Premium Economy,3,5,5,3,4,5,1,1
2461,Economy Class,2,2,3,3,1,1,1,1
2462,Premium Economy,5,5,5,3,5,5,1,1
2463,Business Class,1,1,3,3,1,1,1,0
2464,Economy Class,5,5,4,3,5,5,1,1
2465,Economy Class,1,4,2,2,3,2,1,0
2466,Economy Class,3,4,3,3,3,3,1,1
2467,Economy Class,3,4,4,3,3,4,1,1
2468,Business Class,3,4,4,4,4,3,1,1
2469,Business Class,1,4,2,3,1,2,1,0
2470,Business Class,5,5,5,3,1,1,1,0
2471,Economy Class,1,3,2,1,1,1,1,0
2472,Economy Class,1,1,1,1,1,1,1,0
2473,First Class,4,2,1,2,1,1,1,0
2474,Economy Class,1,3,2,3,2,2,1,0
2475,Economy Class,1,1,3,2,1,1,1,0
2476,Business Class,4,4,4,3,4,5,1,1
2477,Economy Class,3,3,3,3,2,3,1,1
2478,Economy Class,2,3,4,1,4,3,1,0
2479,Economy Class,1,1,1,2,3,1,1,0
2480,Business Class,1,3,2,2,2,1,1,0
2481,Economy Class,1,1,1,1,1,2,1,0
2482,Economy Class,4,5,5,3,4,5,1,1
2483,First Class,3,5,4,3,4,3,3,0
2484,Business Class,1,1,1,1,1,1,1,0
2485,Economy Class,1,2,1,1,3,1,1,0
2486,Business Class,2,3,2,2,3,2,1,0
2487,Business Class,3,4,4,4,4,2,1,0
2488,Business Class,5,4,5,3,4,3,5,1
2489,Business Class,3,4,3,3,3,3,1,1
2490,First Class,1,5,4,3,2,2,2,0
2491,Business Class,2,4,3,1,3,3,1,1
2492,Business Class,3,1,3,2,2,2,1,0
2493,Economy Class,1,1,1,1,1,1,1,0
2494,Economy Class,1,2,3,1,3,2,1,0
2495,Economy Class,5,5,2,2,4,4,1,1
2496,Economy Class,5,5,5,3,4,5,1,1
2497,Economy Class,5,5,5,4,5,5,1,1
2498,Business Class,3,2,2,2,3,2,2,0
2499,Economy Class,2,1,2,3,1,3,1,0
2500,Economy Class,4,2,3,3,5,5,1,1
2501,Economy Class,4,5,4,1,1,2,1,0
2502,Economy Class,2,4,3,3,3,3,3,0
2503,Economy Class,1,2,1,1,3,1,1,0
2504,Economy Class,1,4,1,1,1,1,1,0
2505,Business Class,3,5,4,3,4,4,1,1
2506,Economy Class,2,2,2,3,1,1,1,0
2507,Business Class,3,2,2,1,2,3,1,0
2508,Business Class,3,4,3,3,4,2,1,1
2509,Economy Class,3,1,3,1,5,3,1,0
2510,Business Class,4,3,3,3,3,4,1,0
2511,Economy Class,4,3,3,3,5,5,1,1
2512,Economy Class,1,2,1,3,3,1,1,0
2513,Economy Class,1,4,2,3,4,2,1,0
2514,Economy Class,2,2,2,1,1,1,1,0
2515,Economy Class,5,5,5,3,5,5,1,1
2516,Economy Class,3,1,2,3,1,2,1,0
2517,First Class,4,5,4,4,3,5,1,1
2518,Business Class,4,4,2,3,1,3,1,1
2519,Economy Class,3,4,4,4,5,4,1,1
2520,Economy Class,1,2,2,2,3,1,1,0
2521,Business Class,4,5,5,3,3,4,1,1
2522,Economy Class,5,5,4,4,5,5,1,1
2523,Economy Class,4,4,3,3,4,4,1,1
2524,Business Class,4,1,2,3,1,1,1,0
2525,Business Class,4,1,2,3,1,1,1,0
2526,Business Class,5,5,5,3,5,5,1,1
2527,Business Class,1,1,3,3,1,1,1,0
2528,Economy Class,2,1,1,4,3,1,1,0
2529,Economy Class,4,5,5,3,4,5,1,1
2530,Economy Class,4,3,4,3,1,3,1,0
2531,Business Class,5,5,5,3,5,5,1,1
2532,Business Class,4,5,5,5,5,5,5,1
2533,Economy Class,3,3,3,3,1,2,3,0
2534,Economy Class,2,3,2,3,1,1,1,0
2535,First Class,2,3,1,2,1,1,1,0
2536,Economy Class,1,1,3,3,1,1,1,0
2537,Economy Class,1,3,3,1,1,1,1,0
2538,Business Class,3,5,3,3,3,3,1,1
2539,Business Class,1,3,2,3,3,1,1,0
2540,Economy Class,5,5,4,1,5,4,1,1
2541,Business Class,5,5,5,5,5,5,1,1
2542,Economy Class,5,5,5,5,5,4,1,1
2543,Economy Class,1,1,2,1,1,1,1,0
2544,Business Class,5,5,2,5,4,4,1,1
2545,Business Class,1,4,2,3,3,2,1,0
2546,First Class,1,1,3,3,1,1,1,0
2547,Economy Class,4,5,4,3,5,5,1,1
2548,Business Class,4,5,5,4,5,5,1,1
2549,Economy Class,4,3,2,2,2,5,1,1
2550,Economy Class,4,3,5,3,3,5,1,1
2551,Economy Class,3,2,4,4,2,3,2,0
2552,Business Class,2,2,2,3,2,1,1,0
2553,Economy Class,4,4,4,2,4,3,1,1
2554,Economy Class,1,1,1,3,1,2,1,0
2555,Economy Class,4,5,4,3,4,4,1,1
2556,Economy Class,3,2,3,3,3,3,1,0
2557,Economy Class,1,1,1,2,1,1,1,0
2558,Economy Class,1,2,2,1,2,1,1,0
2559,Economy Class,2,3,2,3,3,3,1,1
2560,Economy Class,2,4,3,2,3,3,1,1
2561,First Class,2,4,3,3,1,1,1,0
2562,Economy Class,1,2,1,1,2,1,1,0
2563,Business Class,1,3,2,1,3,1,1,0
2564,Business Class,2,1,1,3,2,2,1,0
2565,Premium Economy,3,5,3,3,4,1,3,0
2566,Premium Economy,2,5,4,4,5,3,4,0
2567,Economy Class,3,1,1,1,4,2,1,0
2568,Economy Class,1,4,4,3,2,1,1,0
2569,Economy Class,4,2,2,3,3,2,1,0
2570,Business Class,2,1,2,2,5,1,1,0
2571,Premium Economy,2,1,2,3,2,3,1,0
2572,Economy Class,4,3,3,4,4,4,1,1
2573,First Class,4,1,3,1,2,1,1,0
2574,First Class,2,3,2,1,1,1,1,0
2575,Economy Class,4,5,5,3,4,5,1,1
2576,Business Class,1,2,4,4,3,4,1,0
2577,Economy Class,1,1,3,3,1,1,1,0
2578,Business Class,5,5,5,3,5,5,1,1
2579,Business Class,5,5,5,3,5,5,1,1
2580,Business Class,1,1,2,1,2,1,1,0
2581,Business Class,1,4,2,3,2,1,1,0
2582,Economy Class,4,1,4,3,3,3,1,1
2583,Business Class,5,5,4,4,5,5,1,1
2584,Economy Class,1,3,2,3,4,2,1,0
2585,Economy Class,3,2,2,3,2,3,1,0
2586,Economy Class,1,3,2,4,1,1,1,0
2587,Economy Class,4,1,1,5,3,3,1,0
2588,Economy Class,2,3,3,4,4,4,1,0
2589,Economy Class,4,4,4,3,4,4,1,1
2590,Economy Class,4,2,3,4,3,3,1,1
2591,Premium Economy,4,2,4,3,3,3,1,1
2592,Business Class,5,5,4,4,5,5,1,1
2593,Business Class,2,1,1,2,3,2,1,0
2594,First Class,4,5,3,4,4,2,1,1
2595,Business Class,4,5,3,4,4,5,1,1
2596,Economy Class,1,2,3,1,1,1,1,0
2597,Economy Class,2,3,3,3,4,3,1,1
2598,Business Class,5,5,5,3,5,5,1,1
2599,First Class,5,5,5,3,5,5,1,1
2600,Business Class,2,3,1,1,3,2,1,0
2601,Economy Class,1,5,3,4,5,2,1,0
2602,Economy Class,3,5,4,3,4,5,1,1
2603,Economy Class,3,3,4,3,1,2,1,0
2604,Business Class,5,5,5,4,5,4,1,1
2605,Economy Class,4,5,4,5,5,3,5,1
2606,Business Class,1,5,4,1,1,3,1,0
2607,Economy Class,2,4,1,3,1,3,1,0
2608,Business Class,4,4,5,3,4,4,1,1
2609,Economy Class,5,5,4,1,4,5,1,1
2610,Economy Class,1,1,1,3,1,1,1,0
2611,Business Class,1,5,5,3,5,4,1,1
2612,Premium Economy,4,5,4,5,3,4,4,1
2613,Business Class,1,4,1,1,3,1,1,0
2614,Business Class,2,4,3,2,4,3,1,0
2615,First Class,2,1,1,3,2,1,1,0
2616,Business Class,2,2,2,3,2,2,1,0
2617,Business Class,1,3,2,3,1,1,1,0
2618,Business Class,1,3,2,3,2,2,1,0
2619,Economy Class,3,2,1,5,1,1,1,0
2620,Business Class,5,5,5,5,5,3,5,1
2621,Economy Class,1,1,1,1,2,1,1,0
2622,Economy Class,1,2,1,1,1,2,1,0
2623,Economy Class,3,5,4,3,5,5,1,1
2624,Economy Class,2,1,2,2,3,2,1,0
2625,Economy Class,2,3,1,2,1,1,1,0
2626,Economy Class,1,1,3,3,3,1,1,0
2627,Economy Class,1,2,1,3,1,1,1,0
2628,Business Class,3,3,4,2,4,4,1,0
2629,Economy Class,4,3,1,3,1,1,1,0
2630,Economy Class,4,5,3,5,4,5,4,1
2631,Economy Class,4,4,3,3,4,5,1,1
2632,Premium Economy,3,2,2,3,3,1,3,0
2633,Economy Class,1,3,2,3,1,1,1,0
2634,Economy Class,2,1,1,3,2,2,1,0
2635,Economy Class,2,3,3,3,3,2,1,0
2636,Business Class,4,5,5,3,4,4,1,1
2637,Business Class,2,5,2,2,2,2,1,0
2638,Business Class,3,4,5,3,1,4,1,1
2639,Economy Class,5,5,3,3,5,4,1,1
2640,Business Class,3,2,2,4,3,2,1,0
2641,Economy Class,3,4,3,3,1,1,1,0
2642,Business Class,2,5,4,4,4,4,1,1
2643,Economy Class,1,4,3,3,4,2,1,0
2644,Business Class,3,5,5,3,4,4,1,1
2645,First Class,3,3,3,3,1,3,1,0
2646,Business Class,2,4,5,3,4,4,1,1
2647,First Class,4,5,5,4,5,5,1,1
2648,Economy Class,1,1,1,1,1,1,1,0
2649,Business Class,5,5,4,5,4,3,1,1
2650,NaN,1,4,3,2,1,1,2,0
2651,Business Class,3,5,4,3,4,3,1,1
2652,Economy Class,4,5,4,3,4,4,4,1
2653,Business Class,4,3,3,4,3,3,1,1
2654,Economy Class,5,5,5,3,5,5,1,1
2655,Economy Class,5,5,3,3,4,5,1,1
2656,Economy Class,3,4,4,4,4,4,1,1
2657,Economy Class,3,5,3,3,4,4,1,1
2658,Business Class,1,3,2,1,3,1,1,0
2659,Economy Class,3,5,4,2,3,4,1,1
2660,Business Class,4,5,2,4,3,5,1,1
2661,Economy Class,4,5,3,3,3,4,1,1
2662,Economy Class,4,5,4,3,3,4,1,1
2663,Business Class,5,2,2,1,3,1,1,0
2664,Business Class,3,4,3,4,3,3,1,0
2665,Business Class,3,5,3,4,3,4,1,1
2666,Economy Class,3,5,5,5,3,4,1,1
2667,Business Class,4,5,4,3,3,5,1,1
2668,Business Class,4,2,3,4,3,3,1,1
2669,Premium Economy,4,1,1,3,3,3,1,0
2670,Business Class,2,5,2,3,3,3,1,1
2671,Business Class,4,5,5,2,3,5,1,1
2672,Business Class,1,1,1,1,3,1,1,0
2673,Economy Class,1,1,2,2,3,1,1,0
2674,Economy Class,1,4,1,2,3,1,1,0
2675,Business Class,3,3,4,1,3,3,1,0
2676,First Class,4,3,1,4,3,3,1,1
2677,Business Class,3,3,2,1,3,2,1,0
2678,Economy Class,4,3,2,1,3,2,1,0
2679,Premium Economy,1,4,2,1,3,1,1,0
2680,Premium Economy,3,3,2,1,3,3,1,0
2681,Economy Class,4,4,4,3,3,5,1,1
2682,Economy Class,2,1,1,3,3,2,1,0
2683,Premium Economy,5,5,4,3,3,4,1,1
2684,Economy Class,4,4,4,1,3,4,1,1
2685,Business Class,1,4,1,1,3,1,1,0
2686,First Class,5,5,4,5,3,3,1,1
2687,NaN,1,2,1,3,3,1,1,0
2688,Economy Class,3,2,3,3,3,2,1,0
2689,Premium Economy,4,2,2,3,3,3,1,0
2690,Economy Class,3,2,1,1,3,2,1,0
2691,Economy Class,1,1,1,2,3,1,1,0
2692,Premium Economy,5,5,3,2,3,4,1,1
2693,Economy Class,4,4,4,3,3,4,1,1
2694,Premium Economy,4,5,3,4,3,5,1,0
2695,Economy Class,5,5,5,4,3,5,1,1
2696,Premium Economy,2,1,1,1,3,1,1,0
2697,First Class,5,5,5,5,3,5,1,1
2698,Economy Class,4,5,3,4,3,5,1,1
2699,Business Class,1,3,1,1,3,1,1,0
2700,Economy Class,2,3,2,2,3,3,1,1
2701,Business Class,4,4,4,3,3,4,1,1
2702,Economy Class,5,5,3,3,3,5,1,1
2703,Business Class,4,5,5,4,3,4,1,1
2704,First Class,5,5,5,5,3,5,1,1
2705,Premium Economy,3,4,4,5,3,4,1,1
2706,Economy Class,4,5,3,1,3,5,1,1
2707,Business Class,4,5,5,4,3,5,1,1
2708,Economy Class,4,4,2,2,3,3,1,1
2709,Business Class,5,5,5,5,3,5,1,1
2710,First Class,5,5,5,5,3,5,1,1
2711,Premium Economy,4,4,4,3,3,4,1,1
2712,Business Class,5,5,5,5,3,4,1,1
2713,Premium Economy,4,5,4,2,3,5,1,1
2714,Business Class,5,5,5,3,3,5,1,1
2715,Economy Class,1,4,1,4,3,1,1,0
2716,Business Class,1,1,2,1,3,1,1,0
2717,Premium Economy,2,4,2,1,3,3,1,1
2718,Business Class,1,1,1,2,3,2,1,0
2719,Economy Class,5,5,4,5,3,4,1,1
2720,Business Class,4,4,4,2,3,4,1,1
2721,Business Class,4,5,5,1,3,3,1,1
2722,Business Class,4,5,5,3,3,4,1,1
2723,Premium Economy,5,5,5,5,3,5,1,1
2724,Business Class,5,5,4,5,3,5,1,1
2725,Business Class,1,5,5,5,3,5,1,1
2726,Premium Economy,3,1,2,5,3,3,1,0
2727,First Class,5,5,4,4,3,5,1,1
2728,Business Class,5,5,5,3,3,5,1,1
2729,Economy Class,5,5,5,2,3,5,1,1
2730,Premium Economy,4,5,5,5,3,4,1,1
2731,Economy Class,4,5,4,4,3,4,1,1
2732,Business Class,4,5,5,5,3,5,1,1
2733,Business Class,2,5,5,2,3,3,1,1
2734,Business Class,2,5,3,1,3,4,1,1
2735,Business Class,5,5,5,5,3,5,1,1
2736,First Class,5,5,5,5,3,5,1,1
2737,Business Class,5,5,5,5,3,5,1,1
2738,Premium Economy,4,3,3,3,3,4,1,1
2739,Premium Economy,4,5,5,5,3,5,1,1
2740,First Class,5,5,4,4,3,5,1,1
2741,Economy Class,5,5,5,5,3,4,1,1
2742,Business Class,1,1,2,1,3,2,1,0
2743,Economy Class,5,3,4,2,3,5,1,1
2744,First Class,5,5,5,5,3,5,1,1
2745,Business Class,3,5,5,1,3,4,1,1
2746,Economy Class,5,5,5,5,3,4,1,1
2747,Premium Economy,1,1,3,1,3,1,1,0
2748,Economy Class,5,4,5,5,3,4,1,1
2749,Business Class,4,5,5,4,3,5,1,1
2750,Economy Class,3,3,2,4,3,3,1,0
2751,Economy Class,4,5,4,1,3,5,1,1
2752,Premium Economy,3,3,4,5,3,4,1,1
2753,Economy Class,3,4,4,1,3,5,1,1
2754,Economy Class,5,5,4,3,3,4,1,1
2755,Economy Class,5,5,5,3,3,5,1,1
2756,Business Class,1,5,1,1,3,3,1,1
2757,Business Class,5,5,4,5,3,4,1,1
2758,Economy Class,2,3,4,3,3,3,1,0
2759,Business Class,1,1,1,3,3,1,1,0
2760,Economy Class,2,1,2,2,3,3,1,0
2761,Business Class,1,4,3,3,3,4,1,1
2762,Economy Class,4,3,3,1,3,1,1,0
2763,First Class,5,2,5,3,3,4,1,1
2764,Economy Class,4,3,1,3,3,3,1,1
2765,Business Class,1,3,3,1,3,1,1,0
2766,Economy Class,2,2,3,2,3,3,1,0
2767,Business Class,2,3,2,1,3,3,1,0
2768,Business Class,2,4,3,1,3,4,1,0
2769,Economy Class,1,4,1,3,3,2,1,0
2770,Economy Class,4,4,4,4,3,4,1,1
2771,Business Class,1,2,1,1,3,1,1,0
2772,Premium Economy,4,3,4,5,3,4,1,1
2773,Business Class,4,1,2,2,3,1,1,0
2774,Economy Class,3,4,3,1,3,4,1,1
2775,Economy Class,4,5,4,1,3,2,1,1
2776,Business Class,3,4,4,2,3,3,1,1
2777,Business Class,1,2,1,1,3,1,1,0
2778,First Class,3,3,1,3,3,2,1,0
2779,Business Class,3,3,3,5,3,3,1,1
2780,Business Class,3,3,1,2,3,3,1,0
2781,Premium Economy,2,1,2,1,3,2,1,0
2782,Premium Economy,5,5,5,4,3,5,1,1
2783,Business Class,4,3,3,1,3,3,1,0
2784,Business Class,2,5,5,5,3,4,1,1
2785,Economy Class,4,4,5,1,3,4,1,1
2786,Economy Class,1,1,1,1,3,1,1,0
2787,Business Class,1,3,1,1,3,1,1,0
2788,Economy Class,3,2,2,1,3,4,1,0
2789,Economy Class,2,3,1,1,3,3,1,0
2790,Business Class,2,4,4,1,3,3,1,1
2791,Premium Economy,4,4,4,4,3,4,1,1
2792,Economy Class,4,5,5,4,3,5,1,1
2793,Economy Class,4,4,4,2,3,3,1,1
2794,Business Class,2,4,3,1,3,2,1,1
2795,First Class,4,4,5,4,3,4,1,1
2796,Business Class,1,5,3,4,3,1,1,0
2797,Economy Class,5,4,4,4,3,5,1,1
2798,Economy Class,2,5,4,1,3,4,1,1
2799,Business Class,3,3,4,4,3,5,1,1
2800,Economy Class,5,1,1,1,3,5,1,0
2801,Economy Class,4,5,4,1,3,5,1,1
2802,Economy Class,5,5,5,5,3,5,1,1
2803,Business Class,3,3,4,4,3,5,1,1
2804,Economy Class,3,3,4,1,3,4,1,1
2805,Premium Economy,4,5,4,5,3,5,1,1
2806,Business Class,4,5,4,4,3,5,1,1
2807,Economy Class,1,1,2,1,3,2,1,0
2808,First Class,3,1,1,1,3,1,1,0
2809,First Class,4,4,2,4,3,3,1,1
2810,Economy Class,4,4,4,2,3,4,1,1
2811,Economy Class,1,2,1,1,3,2,1,0
2812,Economy Class,3,4,4,3,3,3,1,1
2813,Business Class,2,3,3,2,3,4,1,0
2814,Economy Class,5,5,5,3,3,5,1,1
2815,Business Class,5,5,4,4,3,5,1,1
2816,Economy Class,4,4,3,2,3,4,1,1
2817,Business Class,1,3,2,1,3,2,1,0
2818,Business Class,4,5,4,5,3,4,1,1
2819,Business Class,5,5,5,2,3,5,1,1
2820,Economy Class,3,4,3,3,3,4,1,1
2821,Economy Class,3,3,5,1,3,4,1,1
2822,Economy Class,4,3,2,1,3,3,1,0
2823,Economy Class,2,5,3,1,3,4,1,1
2824,Business Class,3,2,1,3,3,3,1,0
2825,Business Class,5,3,2,5,3,2,1,0
2826,Economy Class,3,4,3,5,3,5,1,1
2827,Business Class,4,2,1,1,3,2,1,0
2828,Business Class,2,2,1,1,3,1,1,0
2829,Business Class,3,5,5,1,3,5,1,1
2830,Economy Class,1,2,1,1,3,2,1,0
2831,Economy Class,4,5,4,1,3,4,1,1
2832,Economy Class,1,3,1,2,3,1,1,0
2833,Economy Class,3,1,1,3,3,5,1,1
2834,Economy Class,4,2,2,1,3,3,1,1
2835,Business Class,1,5,4,1,3,1,1,0
2836,Business Class,4,5,4,1,3,4,1,1
2837,Business Class,3,2,2,3,3,2,1,1
2838,Economy Class,2,3,3,4,3,3,1,0
2839,Business Class,1,4,3,1,3,2,1,0
2840,Business Class,4,5,5,2,3,4,1,1
2841,Economy Class,3,4,2,1,3,4,1,0
2842,Business Class,1,2,1,2,3,2,1,0
2843,Business Class,3,5,5,2,3,5,1,1
2844,Economy Class,4,5,4,5,3,5,1,1
2845,Economy Class,3,4,4,5,3,4,1,1
2846,Premium Economy,5,5,5,4,3,5,1,1
2847,Business Class,4,5,4,3,3,4,1,1
2848,Business Class,1,4,2,2,3,1,1,0
2849,Premium Economy,2,1,1,2,3,1,1,0
2850,Economy Class,2,4,3,1,3,1,1,0
2851,Economy Class,1,2,3,1,3,3,1,0
2852,First Class,2,4,4,3,3,3,1,0
2853,Premium Economy,3,3,2,2,3,3,1,0
2854,Economy Class,4,4,4,1,3,4,1,1
2855,Economy Class,1,1,2,1,3,3,1,0
